CustomerID,Genre,Age,Annual_Income_(k$),Spending_Score,segment,segment_name
1,Male,19,15,39,4,Engaged Value Seekers
2,Male,21,15,81,4,Engaged Value Seekers
3,Female,20,16,6,0,Moderate Low-Spenders
4,Female,23,16,77,4,Engaged Value Seekers
5,Female,31,17,40,0,Moderate Low-Spenders
6,Female,22,17,76,4,Engaged Value Seekers
7,Female,35,18,6,0,Moderate Low-Spenders
8,Female,23,18,94,4,Engaged Value Seekers
9,Male,64,19,3,0,Moderate Low-Spenders
10,Female,30,19,72,4,Engaged Value Seekers
11,Male,67,19,14,0,Moderate Low-Spenders
12,Female,35,19,99,4,Engaged Value Seekers
13,Female,58,20,15,0,Moderate Low-Spenders
14,Female,24,20,77,4,Engaged Value Seekers
15,Male,37,20,13,0,Moderate Low-Spenders
16,Male,22,20,79,4,Engaged Value Seekers
17,Female,35,21,35,0,Moderate Low-Spenders
18,Male,20,21,66,4,Engaged Value Seekers
19,Male,52,23,29,0,Moderate Low-Spenders
20,Female,35,23,98,4,Engaged Value Seekers
21,Male,35,24,35,0,Moderate Low-Spenders
22,Male,25,24,73,4,Engaged Value Seekers
23,Female,46,25,5,0,Moderate Low-Spenders
24,Male,31,25,73,4,Engaged Value Seekers
25,Female,54,28,14,0,Moderate Low-Spenders
26,Male,29,28,82,4,Engaged Value Seekers
27,Female,45,28,32,0,Moderate Low-Spenders
28,Male,35,28,61,4,Engaged Value Seekers
29,Female,40,29,31,0,Moderate Low-Spenders
30,Female,23,29,87,4,Engaged Value Seekers
31,Male,60,30,4,0,Moderate Low-Spenders
32,Female,21,30,73,4,Engaged Value Seekers
33,Male,53,33,4,0,Moderate Low-Spenders
34,Male,18,33,92,4,Engaged Value Seekers
35,Female,49,33,14,0,Moderate Low-Spenders
36,Female,21,33,81,4,Engaged Value Seekers
37,Female,42,34,17,0,Moderate Low-Spenders
38,Female,30,34,73,4,Engaged Value Seekers
39,Female,36,37,26,0,Moderate Low-Spenders
40,Female,20,37,75,4,Engaged Value Seekers
41,Female,65,38,35,2,Balanced Shoppers 2
42,Male,24,38,92,4,Engaged Value Seekers
43,Male,48,39,36,2,Balanced Shoppers 2
44,Female,31,39,61,4,Engaged Value Seekers
45,Female,49,39,28,0,Moderate Low-Spenders
46,Female,24,39,65,4,Engaged Value Seekers
47,Female,50,40,55,2,Balanced Shoppers 2
48,Female,27,40,47,1,Balanced Shoppers 1
49,Female,29,40,42,1,Balanced Shoppers 1
50,Female,31,40,42,1,Balanced Shoppers 1
51,Female,49,42,52,2,Balanced Shoppers 2
52,Male,33,42,60,4,Engaged Value Seekers
53,Female,31,43,54,1,Balanced Shoppers 1
54,Male,59,43,60,2,Balanced Shoppers 2
55,Female,50,43,45,2,Balanced Shoppers 2
56,Male,47,43,41,2,Balanced Shoppers 2
57,Female,51,44,50,2,Balanced Shoppers 2
58,Male,69,44,46,2,Balanced Shoppers 2
59,Female,27,46,51,1,Balanced Shoppers 1
60,Male,53,46,46,2,Balanced Shoppers 2
61,Male,70,46,56,2,Balanced Shoppers 2
62,Male,19,46,55,1,Balanced Shoppers 1
63,Female,67,47,52,2,Balanced Shoppers 2
64,Female,54,47,59,2,Balanced Shoppers 2
65,Male,63,48,51,2,Balanced Shoppers 2
66,Male,18,48,59,1,Balanced Shoppers 1
67,Female,43,48,50,2,Balanced Shoppers 2
68,Female,68,48,48,2,Balanced Shoppers 2
69,Male,19,48,59,1,Balanced Shoppers 1
70,Female,32,48,47,1,Balanced Shoppers 1
71,Male,70,49,55,2,Balanced Shoppers 2
72,Female,47,49,42,2,Balanced Shoppers 2
73,Female,60,50,49,2,Balanced Shoppers 2
74,Female,60,50,56,2,Balanced Shoppers 2
75,Male,59,54,47,2,Balanced Shoppers 2
76,Male,26,54,54,1,Balanced Shoppers 1
77,Female,45,54,53,2,Balanced Shoppers 2
78,Male,40,54,48,2,Balanced Shoppers 2
79,Female,23,54,52,1,Balanced Shoppers 1
80,Female,49,54,42,2,Balanced Shoppers 2
81,Male,57,54,51,2,Balanced Shoppers 2
82,Male,38,54,55,2,Balanced Shoppers 2
83,Male,67,54,41,2,Balanced Shoppers 2
84,Female,46,54,44,2,Balanced Shoppers 2
85,Female,21,54,57,1,Balanced Shoppers 1
86,Male,48,54,46,2,Balanced Shoppers 2
87,Female,55,57,58,2,Balanced Shoppers 2
88,Female,22,57,55,1,Balanced Shoppers 1
89,Female,34,58,60,1,Balanced Shoppers 1
90,Female,50,58,46,2,Balanced Shoppers 2
91,Female,68,59,55,2,Balanced Shoppers 2
92,Male,18,59,41,1,Balanced Shoppers 1
93,Male,48,60,49,2,Balanced Shoppers 2
94,Female,40,60,40,2,Balanced Shoppers 2
95,Female,32,60,42,1,Balanced Shoppers 1
96,Male,24,60,52,1,Balanced Shoppers 1
97,Female,47,60,47,2,Balanced Shoppers 2
98,Female,27,60,50,1,Balanced Shoppers 1
99,Male,48,61,42,2,Balanced Shoppers 2
100,Male,20,61,49,1,Balanced Shoppers 1
101,Female,23,62,41,1,Balanced Shoppers 1
102,Female,49,62,48,2,Balanced Shoppers 2
103,Male,67,62,59,2,Balanced Shoppers 2
104,Male,26,62,55,1,Balanced Shoppers 1
105,Male,49,62,56,2,Balanced Shoppers 2
106,Female,21,62,42,1,Balanced Shoppers 1
107,Female,66,63,50,2,Balanced Shoppers 2
108,Male,54,63,46,2,Balanced Shoppers 2
109,Male,68,63,43,2,Balanced Shoppers 2
110,Male,66,63,48,2,Balanced Shoppers 2
111,Male,65,63,52,2,Balanced Shoppers 2
112,Female,19,63,54,1,Balanced Shoppers 1
113,Female,38,64,42,2,Balanced Shoppers 2
114,Male,19,64,46,1,Balanced Shoppers 1
115,Female,18,65,48,1,Balanced Shoppers 1
116,Female,19,65,50,1,Balanced Shoppers 1
117,Female,63,65,43,2,Balanced Shoppers 2
118,Female,49,65,59,2,Balanced Shoppers 2
119,Female,51,67,43,2,Balanced Shoppers 2
120,Female,50,67,57,2,Balanced Shoppers 2
121,Male,27,67,56,1,Balanced Shoppers 1
122,Female,38,67,40,2,Balanced Shoppers 2
123,Female,40,69,58,2,Balanced Shoppers 2
124,Male,39,69,91,3,Premium High-Value Shoppers
125,Female,23,70,29,1,Balanced Shoppers 1
126,Female,31,70,77,3,Premium High-Value Shoppers
127,Male,43,71,35,5,Affluent Low-Engagement
128,Male,40,71,95,3,Premium High-Value Shoppers
