CustomerID,Genre,Age,Annual_Income_(k$),Spending_Score,segment,segment_name,refined_segment_name
1,Male,19,15,39,4,Engaged Value Seekers,Young High-Interest Savers
2,Male,21,15,81,4,Engaged Value Seekers,Young High-Interest Savers
3,Female,20,16,6,0,Moderate Low-Spenders,Mature Value Seekers
4,Female,23,16,77,4,Engaged Value Seekers,Young High-Interest Savers
5,Female,31,17,40,0,Moderate Low-Spenders,Mature Value Seekers
6,Female,22,17,76,4,Engaged Value Seekers,Young High-Interest Savers
7,Female,35,18,6,0,Moderate Low-Spenders,Mature Value Seekers
8,Female,23,18,94,4,Engaged Value Seekers,Young High-Interest Savers
9,Male,64,19,3,0,Moderate Low-Spenders,Mature Value Seekers
10,Female,30,19,72,4,Engaged Value Seekers,Young High-Interest Savers
11,Male,67,19,14,0,Moderate Low-Spenders,Mature Value Seekers
12,Female,35,19,99,4,Engaged Value Seekers,Young High-Interest Savers
13,Female,58,20,15,0,Moderate Low-Spenders,Mature Value Seekers
14,Female,24,20,77,4,Engaged Value Seekers,Young High-Interest Savers
15,Male,37,20,13,0,Moderate Low-Spenders,Mature Value Seekers
16,Male,22,20,79,4,Engaged Value Seekers,Young High-Interest Savers
17,Female,35,21,35,0,Moderate Low-Spenders,Mature Value Seekers
18,Male,20,21,66,4,Engaged Value Seekers,Young High-Interest Savers
19,Male,52,23,29,0,Moderate Low-Spenders,Mature Value Seekers
20,Female,35,23,98,4,Engaged Value Seekers,Young High-Interest Savers
21,Male,35,24,35,0,Moderate Low-Spenders,Mature Value Seekers
22,Male,25,24,73,4,Engaged Value Seekers,Young High-Interest Savers
23,Female,46,25,5,0,Moderate Low-Spenders,Mature Value Seekers
24,Male,31,25,73,4,Engaged Value Seekers,Young High-Interest Savers
25,Female,54,28,14,0,Moderate Low-Spenders,Mature Value Seekers
26,Male,29,28,82,4,Engaged Value Seekers,Young High-Interest Savers
27,Female,45,28,32,0,Moderate Low-Spenders,Mature Value Seekers
28,Male,35,28,61,4,Engaged Value Seekers,Young High-Interest Savers
29,Female,40,29,31,0,Moderate Low-Spenders,Mature Value Seekers
30,Female,23,29,87,4,Engaged Value Seekers,Young High-Interest Savers
31,Male,60,30,4,0,Moderate Low-Spenders,Mature Value Seekers
32,Female,21,30,73,4,Engaged Value Seekers,Young High-Interest Savers
33,Male,53,33,4,0,Moderate Low-Spenders,Mature Value Seekers
34,Male,18,33,92,4,Engaged Value Seekers,Young High-Interest Savers
35,Female,49,33,14,0,Moderate Low-Spenders,Mature Value Seekers
36,Female,21,33,81,4,Engaged Value Seekers,Young High-Interest Savers
37,Female,42,34,17,0,Moderate Low-Spenders,Mature Value Seekers
38,Female,30,34,73,4,Engaged Value Seekers,Young High-Interest Savers
39,Female,36,37,26,0,Moderate Low-Spenders,Mature Value Seekers
40,Female,20,37,75,4,Engaged Value Seekers,Young High-Interest Savers
41,Female,65,38,35,2,Balanced Shoppers 2,Established Comfort Shoppers
42,Male,24,38,92,4,Engaged Value Seekers,Young High-Interest Savers
43,Male,48,39,36,2,Balanced Shoppers 2,Established Comfort Shoppers
44,Female,31,39,61,4,Engaged Value Seekers,Young High-Interest Savers
45,Female,49,39,28,0,Moderate Low-Spenders,Mature Value Seekers
46,Female,24,39,65,4,Engaged Value Seekers,Young High-Interest Savers
47,Female,50,40,55,2,Balanced Shoppers 2,Established Comfort Shoppers
48,Female,27,40,47,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
49,Female,29,40,42,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
50,Female,31,40,42,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
51,Female,49,42,52,2,Balanced Shoppers 2,Established Comfort Shoppers
52,Male,33,42,60,4,Engaged Value Seekers,Young High-Interest Savers
53,Female,31,43,54,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
54,Male,59,43,60,2,Balanced Shoppers 2,Established Comfort Shoppers
55,Female,50,43,45,2,Balanced Shoppers 2,Established Comfort Shoppers
56,Male,47,43,41,2,Balanced Shoppers 2,Established Comfort Shoppers
57,Female,51,44,50,2,Balanced Shoppers 2,Established Comfort Shoppers
58,Male,69,44,46,2,Balanced Shoppers 2,Established Comfort Shoppers
59,Female,27,46,51,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
60,Male,53,46,46,2,Balanced Shoppers 2,Established Comfort Shoppers
61,Male,70,46,56,2,Balanced Shoppers 2,Established Comfort Shoppers
62,Male,19,46,55,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
63,Female,67,47,52,2,Balanced Shoppers 2,Established Comfort Shoppers
64,Female,54,47,59,2,Balanced Shoppers 2,Established Comfort Shoppers
65,Male,63,48,51,2,Balanced Shoppers 2,Established Comfort Shoppers
66,Male,18,48,59,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
67,Female,43,48,50,2,Balanced Shoppers 2,Established Comfort Shoppers
68,Female,68,48,48,2,Balanced Shoppers 2,Established Comfort Shoppers
69,Male,19,48,59,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
70,Female,32,48,47,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
71,Male,70,49,55,2,Balanced Shoppers 2,Established Comfort Shoppers
72,Female,47,49,42,2,Balanced Shoppers 2,Established Comfort Shoppers
73,Female,60,50,49,2,Balanced Shoppers 2,Established Comfort Shoppers
74,Female,60,50,56,2,Balanced Shoppers 2,Established Comfort Shoppers
75,Male,59,54,47,2,Balanced Shoppers 2,Established Comfort Shoppers
76,Male,26,54,54,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
77,Female,45,54,53,2,Balanced Shoppers 2,Established Comfort Shoppers
78,Male,40,54,48,2,Balanced Shoppers 2,Established Comfort Shoppers
79,Female,23,54,52,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
80,Female,49,54,42,2,Balanced Shoppers 2,Established Comfort Shoppers
81,Male,57,54,51,2,Balanced Shoppers 2,Established Comfort Shoppers
82,Male,38,54,55,2,Balanced Shoppers 2,Established Comfort Shoppers
83,Male,67,54,41,2,Balanced Shoppers 2,Established Comfort Shoppers
84,Female,46,54,44,2,Balanced Shoppers 2,Established Comfort Shoppers
85,Female,21,54,57,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
86,Male,48,54,46,2,Balanced Shoppers 2,Established Comfort Shoppers
87,Female,55,57,58,2,Balanced Shoppers 2,Established Comfort Shoppers
88,Female,22,57,55,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
89,Female,34,58,60,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
90,Female,50,58,46,2,Balanced Shoppers 2,Established Comfort Shoppers
91,Female,68,59,55,2,Balanced Shoppers 2,Established Comfort Shoppers
92,Male,18,59,41,1,Balanced Shoppers 1,Emerging Mid-Income Explorers
